Run,Resistance,R_hidden_Ohm,L_eff_H,L_eff_mH,C_eff_F,C_eff_nF,f0_eff_Hz,RMSE,Fit_Success
Combined,22,34.482918925116515,0.010694689554499346,10.694689554499346,2.423315134559595e-07,242.33151345595948,3126.3031853874786,0.0032798656463983254,True
Combined,47,47.86046762362143,0.012464737621525744,12.464737621525744,2.0603087481049567e-07,206.03087481049567,3140.5984193207482,0.005208452523788803,True
Combined,100,55.43526257025458,0.012410937949579802,12.410937949579802,2.061675439581831e-07,206.1675439581831,3146.354701544653,0.006164429159547797,True
Combined,150,62.061088171723235,0.012856780523558852,12.856780523558852,2.010306062554356e-07,201.0306062554356,3130.5664408209796,0.008529024655015753,True
Combined,200,67.51736424659519,0.012414916022484993,12.414916022484993,2.0866483268926432e-07,208.66483268926433,3126.969230612705,0.004510886828674974,True
Combined,270,33.94755177004325,0.01103478232004424,11.03478232004424,2.2882597550969363e-07,228.82597550969362,3167.2736318358843,0.004666246327765079,True
Combined,330,32.58081893323097,0.011337682936399456,11.337682936399457,2.2576495551259388e-07,225.76495551259387,3145.789896414856,0.003538359384764195,True
Combined,470,35.53748346746826,0.010630054505559327,10.630054505559327,2.3554091083017564e-07,235.54091083017565,3180.67438144353,0.006389677808590781,True
Combined,510,34.23096550438741,0.011405001432504704,11.405001432504704,2.2943412596587182e-07,229.43412596587183,3111.311197234707,0.002292650448241219,True
