Resistance_Ohm,R_hidden_fit_Ohm,L_fit_H,C_fit_F,f0_fit_Hz,RMSE
22,34.33954508564163,0.010780406235246232,2.399326817697054e-07,3129.376841074654,0.0032512337546081772
47,48.51455789437697,0.012618497587955668,2.0430373053611931e-07,3134.5713420208463,0.002556365766253654
100,56.177932359382226,0.012507846890356417,2.065998496401611e-07,3130.8614766201304,0.004505497894742261
150,64.08285057763871,0.012994318011573655,2.0314455996885293e-07,3097.7102136130334,0.004251227554319746
200,67.85065875731652,0.012506694713756723,2.0955025284868965e-07,3108.8857524994564,0.004244478653920275
270,33.714565267004396,0.011283927216188015,2.2712683628279532e-07,3143.806212151483,0.006439049330829225
330,32.704710501509716,0.011388639500857015,2.274748430879374e-07,3126.92540979757,0.003087443134261277
470,32.430379592481,0.01088284052718886,2.3273262767928625e-07,3162.4259317158403,0.003574292205157242
