Resistance,R_hidden_Ohm,L_eff_mH,C_eff_nF,RMSE,LC_product,f0_reconstructed_Hz
22,34.482918925116515,10.694689554499346,242.33151345595948,0.0032798656463983,2.5916603056834676e-09,3126.3031853874786
47,47.86046762362143,12.464737621525744,206.03087481049567,0.0052084525237888,2.5681207964462467e-09,3140.598419320748
100,55.43526257025458,12.410937949579802,206.1675439581831,0.0061644291595477,2.5587325952822766e-09,3146.354701544653
150,62.06108817172324,12.856780523558852,201.0306062554356,0.0085290246550157,2.584606383144113e-09,3130.5664408209796
200,67.51736424659519,12.414916022484991,208.6648326892644,0.0045108868286749,2.5905563746830987e-09,3126.9692306127045
270,33.94755177004325,11.03478232004424,228.8259755096936,0.004666246327765,2.525044828921243e-09,3167.2736318358843
330,32.58081893323097,11.337682936399457,225.76495551259387,0.0035383593847641,2.559651483752118e-09,3145.789896414856
470,35.53748346746826,10.630054505559327,235.54091083017565,0.0063896778085907,2.5038127204138566e-09,3180.67438144353
510,34.23096550438741,11.405001432504704,229.43412596587183,0.0022926504482412,2.6166965353062333e-09,3111.311197234707
