Resistance,Frequency_Hz,Vs_Vpp_Run1,VR_Vpp_Run1,Gain_Run1,Run_Run1,Vs_Vpp_Run2,VR_Vpp_Run2,Gain_Run2,Run_Run2,Gain_Diff,Abs_Gain_Diff,Relative_Gain_Diff_Percent,Vs_Diff,VR_Diff,Suspicious
22,1000,2.06,0.076,0.036893203883495145,1,2.06,0.08,0.038834951456310676,2,0.0019417475728155317,0.0019417475728155317,5.263157894736836,0.0,0.0040000000000000036,False
22,1500,2.02,0.128,0.06336633663366337,1,1.98,0.128,0.06464646464646465,2,0.0012801280128012793,0.0012801280128012793,2.020202020202019,-0.040000000000000036,0.0,False
22,2000,1.9,0.204,0.10736842105263157,1,1.88,0.204,0.10851063829787234,2,0.001142217245240773,0.001142217245240773,1.0638297872340534,-0.020000000000000018,0.0,False
22,2300,1.77,0.264,0.14915254237288136,1,1.74,0.266,0.15287356321839082,2,0.0037210208455094596,0.0037210208455094596,2.494775339602933,-0.030000000000000027,0.0020000000000000018,False
22,2500,1.62,0.314,0.19382716049382714,1,1.61,0.316,0.19627329192546583,2,0.0024461314316386873,0.0024461314316386873,1.2620168532658196,-0.010000000000000009,0.0020000000000000018,False
22,2600,1.52,0.344,0.2263157894736842,1,1.52,0.346,0.2276315789473684,2,0.0013157894736842146,0.0013157894736842146,0.5813953488372111,0.0,0.0020000000000000018,False
22,2700,1.42,0.364,0.2563380281690141,1,1.41,0.368,0.26099290780141843,2,0.004654879632404352,0.004654879632404352,1.8159145818720275,-0.010000000000000009,0.0040000000000000036,False
22,2800,1.3,0.388,0.29846153846153844,1,1.3,0.392,0.30153846153846153,2,0.003076923076923088,0.003076923076923088,1.0309278350515503,0.0,0.0040000000000000036,False
22,2850,1.24,0.402,0.3241935483870968,1,1.24,0.404,0.3258064516129032,2,0.001612903225806428,0.001612903225806428,0.49751243781093796,0.0,0.0020000000000000018,False
22,2900,1.2,0.408,0.33999999999999997,1,1.19,0.41,0.3445378151260504,2,0.0045378151260504485,0.0045378151260504485,1.3346515076618968,-0.010000000000000009,0.0020000000000000018,False
22,2950,1.16,0.416,0.3586206896551724,1,1.14,0.416,0.3649122807017544,2,0.006291591046582001,0.006291591046582001,1.7543859649122888,-0.020000000000000018,0.0,False
22,3000,1.14,0.418,0.3666666666666667,1,1.12,0.418,0.37321428571428567,2,0.006547619047618969,0.006547619047618969,1.785714285714264,-0.019999999999999796,0.0,False
22,3025,1.1,0.42,0.3818181818181818,1,1.1,0.42,0.3818181818181818,2,0.0,0.0,0.0,0.0,0.0,False
22,3050,1.1,0.424,0.38545454545454544,1,1.1,0.422,0.3836363636363636,2,-0.0018181818181818299,0.0018181818181818299,0.47169811320755023,0.0,-0.0020000000000000018,False
22,3075,1.09,0.426,0.39082568807339446,1,1.1,0.424,0.38545454545454544,2,-0.005371142618849023,0.005371142618849023,1.3743064447289755,0.010000000000000009,-0.0020000000000000018,False
22,3100,1.08,0.426,0.39444444444444443,1,1.1,0.424,0.38545454545454544,2,-0.008989898989898992,0.008989898989898992,2.279129321382843,0.020000000000000018,-0.0020000000000000018,False
22,3125,1.08,0.426,0.39444444444444443,1,1.1,0.424,0.38545454545454544,2,-0.008989898989898992,0.008989898989898992,2.279129321382843,0.020000000000000018,-0.0020000000000000018,False
22,3150,1.09,0.424,0.38899082568807336,1,1.1,0.424,0.38545454545454544,2,-0.003536280233527922,0.003536280233527922,0.9090909090909045,0.010000000000000009,0.0,False
22,3175,1.1,0.424,0.38545454545454544,1,1.1,0.422,0.3836363636363636,2,-0.0018181818181818299,0.0018181818181818299,0.47169811320755023,0.0,-0.0020000000000000018,False
22,3200,1.1,0.422,0.3836363636363636,1,1.1,0.42,0.3818181818181818,2,-0.0018181818181818299,0.0018181818181818299,0.4739336492891026,0.0,-0.0020000000000000018,False
22,3225,1.11,0.42,0.37837837837837834,1,1.1,0.418,0.37999999999999995,2,0.001621621621621605,0.001621621621621605,0.4285714285714242,-0.010000000000000009,-0.0020000000000000018,False
22,3250,1.12,0.418,0.37321428571428567,1,1.12,0.416,0.3714285714285714,2,-0.0017857142857142794,0.0017857142857142794,0.4784688995215295,0.0,-0.0020000000000000018,False
22,3275,1.14,0.416,0.3649122807017544,1,1.14,0.416,0.3649122807017544,2,0.0,0.0,0.0,0.0,0.0,False
22,3300,1.14,0.416,0.3649122807017544,1,1.14,0.412,0.36140350877192984,2,-0.0035087719298245723,0.0035087719298245723,0.9615384615384645,0.0,-0.0040000000000000036,False
22,3325,1.16,0.412,0.35517241379310344,1,1.17,0.41,0.3504273504273504,2,-0.004745063365753033,0.004745063365753033,1.3359887146294946,0.010000000000000009,-0.0020000000000000018,False
22,3350,1.18,0.41,0.3474576271186441,1,1.18,0.408,0.34576271186440677,2,-0.001694915254237317,0.001694915254237317,0.48780487804878875,0.0,-0.0020000000000000018,False
22,3375,1.21,0.408,0.3371900826446281,1,1.19,0.404,0.33949579831932775,2,0.002305715674699671,0.002305715674699671,0.6838029329378926,-0.020000000000000018,-0.003999999999999948,False
22,3400,1.22,0.404,0.3311475409836066,1,1.22,0.404,0.3311475409836066,2,0.0,0.0,0.0,0.0,0.0,False
