Resistance,Frequency_Hz,Vs_Vpp,VR_Vpp
330,4500,1.79,1.5
330,5000,1.82,1.43
470,1000,1.98,1.18
470,1500,1.93,1.46
470,2000,1.87,1.62
470,2300,1.86,1.66
470,2500,1.86,1.7
470,2600,1.86,1.7
470,2700,1.86,1.7
470,2800,1.86,1.7
470,2850,1.86,1.7
470,2900,1.86,1.7
470,2950,1.86,1.71
470,3000,1.85,1.71
470,3025,1.85,1.71
470,3050,1.85,1.71
470,3075,1.85,1.71
470,3100,1.85,1.71
470,3125,1.85,1.71
470,3150,1.85,1.71
470,3175,1.85,1.71
470,3200,1.85,1.71
470,3225,1.85,1.71
470,3250,1.85,1.71
470,3275,1.85,1.71
470,3300,1.85,1.71
470,3325,1.85,1.71
470,3350,1.85,1.71
470,3375,1.85,1.71
470,3400,1.85,1.7
470,3450,1.85,1.7
470,3500,1.85,1.7
470,3600,1.85,1.7
470,3800,1.86,1.7
470,4000,1.86,1.7
470,4500,1.86,1.64
470,5000,1.86,1.62
510,1000,1.98,1.22
510,1500,1.94,1.52
510,2000,1.89,1.66
510,2300,1.86,1.7
510,2500,1.86,1.71
510,2600,1.86,1.73
510,2700,1.86,1.74
510,2800,1.86,1.74
510,2850,1.86,1.74
510,2900,1.86,1.74
510,2950,1.86,1.74
510,3000,1.86,1.74
510,3025,1.86,1.74
510,3050,1.86,1.74
510,3075,1.86,1.74
510,3100,1.86,1.74
510,3125,1.86,1.74
510,3150,1.86,1.74
510,3175,1.86,1.74
510,3200,1.86,1.74
510,3225,1.86,1.74
510,3250,1.86,1.74
510,3275,1.86,1.74
510,3300,1.86,1.74
510,3325,1.86,1.74
510,3350,1.86,1.74
510,3375,1.86,1.74
510,3400,1.86,1.74
510,3450,1.86,1.74
510,3500,1.86,1.74
510,3600,1.86,1.74
510,3800,1.86,1.71
510,4000,1.86,1.7
510,4500,1.86,1.67
510,5000,1.86,1.62
