Resistance,Best_R_hidden_Ohm,R_hidden_5pct_low,R_hidden_5pct_high,R_hidden_10pct_low,R_hidden_10pct_high,Best_L_mH,L_5pct_low_mH,L_5pct_high_mH,L_10pct_low_mH,L_10pct_high_mH,Best_C_nF,C_5pct_low_nF,C_5pct_high_nF,C_10pct_low_nF,C_10pct_high_nF,Min_RMSE,R_hidden_width_10pct,L_width_10pct_mH,C_width_10pct_nF,R_hidden_relative_width_percent,L_relative_width_percent,C_relative_width_percent
22,34.46377874375271,34.46893787575151,34.46893787575151,34.46893787575151,34.46893787575151,10.700014064738566,10.6813627254509,10.711422845691382,10.6813627254509,10.741482965931862,242.22764546406117,241.8837675350701,242.48496993987973,241.2825651302605,243.08617234468932,0.0032817033027914,0.0,0.06012024048096265,1.8036072144288084,0.0,0.561870667806749,0.7445918119599632
47,47.8611383312475,47.69539078156313,48.09619238476954,47.29458917835672,48.49699398797596,12.4645884276732,12.424849699398797,12.51503006012024,12.394789579158315,12.545090180360722,206.0328934452491,205.21042084168337,207.01402805611224,204.60921843687376,207.01402805611224,0.0052084426364296,1.2024048096192388,0.15030060120240663,2.4048096192384776,2.5122779180415247,1.2058208104867498,1.1671969358997176
100,55.43656781851544,54.90981963927856,55.71142284569139,54.90981963927856,56.1122244488978,12.410818704311378,12.334669338677353,12.48496993987976,12.274549098196392,12.545090180360722,206.1693304748384,204.60921843687376,207.61523046092185,204.0080160320641,208.21643286573143,0.0061644236176069,1.2024048096192388,0.27054108216433015,4.208416833667343,2.1689741211172957,2.1798810264656208,2.041242906486012
150,62.06108637869283,61.32264529058117,62.92585170340681,60.92184368737475,63.32665330661323,12.85678075011763,12.695390781563123,13.026052104208416,12.605210420841685,13.086172344689375,201.03060516678647,198.59719438877755,203.4068136272545,197.3947895791583,204.60921843687376,0.0085290246546548,2.4048096192384776,0.48096192384769054,7.214428857715461,3.874907384902161,3.740920322089883,3.5887216534666244
200,67.51736414244768,66.93386773547094,67.73547094188378,66.93386773547094,68.13627254509018,12.414916036970885,12.304609218436871,12.51503006012024,12.244488977955912,12.575150300601202,208.6648326692764,207.01402805611224,210.0200400801603,206.4128256513026,211.22244488977955,0.0045108868285773,1.2024048096192388,0.33066132264528925,4.809619238476955,1.7808823328505736,2.6634197255994274,2.304949606002832
270,33.94745343268128,33.66733466933868,34.46893787575151,33.26653306613227,34.46893787575151,11.03479067004709,10.921843687374748,11.162324649298595,10.861723446893786,11.22244488977956,228.8260172817552,226.85370741482964,230.46092184368737,226.25250501002003,231.6633266533066,0.0046662463294788,1.2024048096192388,0.3607214428857741,5.4108216432865675,3.541958786403935,3.2689468579129355,2.3646007161083356
330,32.58081556077325,32.46492985971944,32.86573146292585,32.06412825651303,33.26653306613227,11.337683209288349,11.22244488977956,11.432865731462924,11.162324649298595,11.492985971943888,225.7649561002852,224.4488977955912,227.45490981963928,223.24649298597197,228.05611222444887,0.0035383593843201,1.2024048096192388,0.3306613226452928,4.809619238476898,3.690530113883686,2.9164805237669715,2.130365722632549
470,35.53812783339757,34.46893787575151,36.47294589178357,34.06813627254509,36.87374749498998,10.629945858980154,10.260521042084168,11.012024048096192,10.080160320641282,11.162324649298595,235.53910586845973,231.06212424849696,240.08016032064128,229.25851703406812,242.48496993987973,0.0063896774263382,2.805611222444888,1.0821643286573135,13.226452905811612,7.894651163385897,10.180337162706277,5.615395735261948
510,34.23116649123438,34.06813627254509,34.46893787575151,33.66733466933868,34.86973947895792,11.404939197451352,11.28256513026052,11.523046092184368,11.192384769539078,11.613226452905812,229.4352852039656,228.05611222444887,231.06212424849696,227.45490981963928,231.6633266533066,0.002292648905878,1.2024048096192388,0.4208416833667332,4.2084168336673144,3.5126024990329796,3.6899949756924455,1.8342500500418126
