Resistance_Ohm,Frequency_Hz,Vs_Vpp,VR_Vpp,Gain,Gain_Recomputed,Gain_Error
22,3325,1.17,0.41,0.35043,0.3504273504273504,2.649572649615628e-06
22,3350,1.18,0.408,0.34576,0.34576271186440677,-2.7118644067569697e-06
22,3375,1.19,0.404,0.3395,0.33949579831932775,4.201680672277774e-06
22,3400,1.22,0.404,0.33115,0.3311475409836066,2.459016393396851e-06
22,3450,1.26,0.392,0.31111,0.3111111111111111,-1.1111111111183902e-06
22,3500,1.3,0.384,0.29538,0.29538461538461536,-4.615384615380691e-06
22,3600,1.38,0.368,0.26667,0.26666666666666666,3.3333333333551707e-06
22,3800,1.44,0.328,0.22778,0.2277777777777778,2.222222222209025e-06
22,4000,1.62,0.304,0.18765,0.1876543209876543,-4.320987654293784e-06
22,4500,1.78,0.244,0.13708,0.13707865168539327,1.348314606741674e-06
22,5000,1.86,0.202,0.1086,0.1086021505376344,-2.1505376344016502e-06
47,1000,2.06,0.162,0.07864,0.07864077669902912,-7.766990291202536e-07
47,1500,1.98,0.266,0.13434,0.13434343434343435,-3.434343434360887e-06
47,2000,1.86,0.36,0.19355,0.1935483870967742,1.612903225811646e-06
47,2300,1.74,0.444,0.25517,0.25517241379310346,-2.41379310345069e-06
47,2500,1.62,0.504,0.31111,0.3111111111111111,-1.1111111111183902e-06
47,2600,1.54,0.54,0.35065,0.35064935064935066,6.493506493621126e-07
47,2700,1.46,0.568,0.38904,0.3890410958904109,-1.0958904109181766e-06
47,2800,1.38,0.592,0.42899,0.4289855072463768,4.492753623186463e-06
47,2850,1.34,0.6,0.44776,0.4477611940298507,-1.1940298507151503e-06
47,2900,1.33,0.608,0.45714,0.45714285714285713,-2.8571428571377844e-06
47,2950,1.3,0.616,0.47385,0.4738461538461538,3.846153846187583e-06
47,3000,1.28,0.624,0.4875,0.4875,0.0
47,3025,1.26,0.624,0.49524,0.49523809523809526,1.904761904758523e-06
47,3050,1.26,0.624,0.49524,0.49523809523809526,1.904761904758523e-06
47,3075,1.26,0.624,0.49524,0.49523809523809526,1.904761904758523e-06
47,3100,1.26,0.624,0.49524,0.49523809523809526,1.904761904758523e-06
47,3125,1.26,0.624,0.49524,0.49523809523809526,1.904761904758523e-06
47,3150,1.26,0.628,0.49841,0.4984126984126984,-2.6984126983986556e-06
47,3175,1.26,0.624,0.49524,0.49523809523809526,1.904761904758523e-06
47,3200,1.26,0.624,0.49524,0.49523809523809526,1.904761904758523e-06
47,3225,1.26,0.624,0.49524,0.49523809523809526,1.904761904758523e-06
47,3250,1.26,0.62,0.49206,0.49206349206349204,-3.4920634920387883e-06
47,3275,1.26,0.616,0.48889,0.4888888888888889,1.1111111111183902e-06
47,3300,1.26,0.616,0.48889,0.4888888888888889,1.1111111111183902e-06
47,3325,1.28,0.616,0.48125,0.48125,0.0
47,3350,1.3,0.608,0.46769,0.4676923076923077,-2.3076923076903455e-06
47,3375,1.3,0.604,0.46462,0.4646153846153846,4.615384615380691e-06
47,3400,1.3,0.604,0.46462,0.4646153846153846,4.615384615380691e-06
47,3450,1.32,0.596,0.45152,0.4515151515151515,4.848484848496426e-06
47,3500,1.34,0.592,0.44179,0.44179104477611936,-1.044776119341062e-06
47,3600,1.38,0.568,0.41159,0.4115942028985507,-4.2028985506870065e-06
47,3800,1.5,0.532,0.35467,0.3546666666666667,3.3333333332996595e-06
47,4000,1.58,0.488,0.30886,0.30886075949367087,-7.594936708432698e-07
47,4500,1.74,0.4,0.22989,0.2298850574712644,4.942528735618623e-06
47,5000,1.82,0.344,0.18901,0.18901098901098898,-9.890109889665322e-07
100,1000,2.02,0.304,0.1505,0.1504950495049505,4.950495049504955e-06
100,1500,1.94,0.456,0.23505,0.2350515463917526,-1.5463917525937454e-06
100,2000,1.82,0.648,0.35604,0.35604395604395606,-3.956043956032662e-06
100,2300,1.7,0.768,0.45176,0.45176470588235296,-4.70588235296221e-06
100,2500,1.64,0.84,0.5122,0.5121951219512195,4.878048780465605e-06
100,2600,1.58,0.868,0.54937,0.5493670886075949,2.911392405158253e-06
100,2700,1.54,0.896,0.58182,0.5818181818181818,1.8181818182139153e-06
100,2800,1.5,0.912,0.608,0.608,0.0
100,2850,1.5,0.92,0.61333,0.6133333333333334,-3.3333333333551707e-06
100,2900,1.5,0.932,0.62133,0.6213333333333334,-3.3333333333551707e-06
100,2950,1.5,0.936,0.624,0.624,0.0
100,3000,1.5,0.944,0.62933,0.6293333333333333,-3.3333333333551707e-06
100,3025,1.49,0.944,0.63356,0.6335570469798657,2.9530201343108686e-06
100,3050,1.46,0.944,0.64658,0.6465753424657534,4.6575342466104175e-06
