Resistance_Ohm,Frequency_Hz,Vs_Vpp,VR_Vpp,Gain,Gain_Recomputed,Gain_Error
22,1000,2.06,0.076,0.03689,0.036893203883495145,-3.203883495145332e-06
22,1500,2.02,0.128,0.06337,0.06336633663366337,3.6633663366286706e-06
22,2000,1.9,0.204,0.10737,0.10736842105263157,1.5789473684219013e-06
22,2300,1.77,0.264,0.14915,0.14915254237288136,-2.5423728813589452e-06
22,2500,1.62,0.314,0.19383,0.19382716049382714,2.8395061728581084e-06
22,2600,1.52,0.344,0.22632,0.2263157894736842,4.210526315800989e-06
22,2700,1.42,0.364,0.25634,0.2563380281690141,1.9718309859362293e-06
22,2800,1.3,0.388,0.29846,0.29846153846153844,-1.5384615384417266e-06
22,2850,1.24,0.402,0.32419,0.3241935483870968,-3.548387096818928e-06
22,2900,1.2,0.408,0.34,0.33999999999999997,5.551115123125783e-17
22,2950,1.16,0.416,0.35862,0.3586206896551724,-6.896551724144828e-07
22,3000,1.14,0.418,0.36667,0.3666666666666667,3.3333333332996595e-06
22,3025,1.1,0.42,0.38182,0.3818181818181818,1.8181818182139153e-06
22,3050,1.1,0.424,0.38545,0.38545454545454544,-4.545454545423766e-06
22,3075,1.09,0.426,0.39083,0.39082568807339446,4.311926605549132e-06
22,3100,1.08,0.426,0.39444,0.39444444444444443,-4.44444444441805e-06
22,3125,1.08,0.426,0.39444,0.39444444444444443,-4.44444444441805e-06
22,3150,1.09,0.424,0.38899,0.38899082568807336,-8.25688073358144e-07
22,3175,1.1,0.424,0.38545,0.38545454545454544,-4.545454545423766e-06
22,3200,1.1,0.422,0.38364,0.3836363636363636,3.6363636363723195e-06
22,3225,1.11,0.42,0.37838,0.37837837837837834,1.6216216216502488e-06
22,3250,1.12,0.418,0.37321,0.37321428571428567,-4.285714285678921e-06
22,3275,1.14,0.416,0.36491,0.3649122807017544,-2.2807017543979846e-06
22,3300,1.14,0.416,0.36491,0.3649122807017544,-2.2807017543979846e-06
22,3325,1.16,0.412,0.35517,0.35517241379310344,-2.41379310345069e-06
22,3350,1.18,0.41,0.34746,0.3474576271186441,2.3728813559054096e-06
22,3375,1.21,0.408,0.33719,0.3371900826446281,-8.264462808549311e-08
22,3400,1.22,0.404,0.33115,0.3311475409836066,2.459016393396851e-06
22,3450,1.26,0.392,0.31111,0.3111111111111111,-1.1111111111183902e-06
22,3500,1.3,0.39,0.3,0.3,0.0
22,3600,1.38,0.372,0.26957,0.26956521739130435,4.782608695630408e-06
22,3800,1.5,0.334,0.22267,0.22266666666666668,3.333333333327415e-06
22,4000,1.62,0.306,0.18889,0.18888888888888888,1.1111111111183902e-06
22,4500,1.76,0.244,0.13864,0.13863636363636364,3.6363636363723195e-06
22,5000,1.86,0.204,0.10968,0.1096774193548387,2.580645161301409e-06
47,1000,2.06,0.144,0.0699,0.06990291262135921,-2.9126213592078898e-06
47,1500,1.98,0.224,0.11313,0.11313131313131314,-1.3131313131437006e-06
47,2000,1.84,0.344,0.18696,0.1869565217391304,3.4782608695771433e-06
47,2300,1.7,0.44,0.25882,0.25882352941176473,-3.529411764735535e-06
47,2500,1.58,0.504,0.31899,0.3189873417721519,2.6582278481179777e-06
47,2600,1.52,0.536,0.35263,0.35263157894736846,-1.5789473684635347e-06
47,2700,1.46,0.56,0.38356,0.3835616438356165,-1.6438356164605317e-06
47,2800,1.38,0.584,0.42319,0.42318840579710143,1.5942028985804768e-06
47,2850,1.35,0.592,0.43852,0.4385185185185185,1.4814814815466981e-06
47,2900,1.32,0.6,0.45455,0.45454545454545453,4.545454545479277e-06
47,2950,1.3,0.608,0.46769,0.4676923076923077,-2.3076923076903455e-06
47,3000,1.27,0.616,0.48504,0.48503937007874015,6.299212598759318e-07
47,3025,1.26,0.616,0.48889,0.4888888888888889,1.1111111111183902e-06
47,3050,1.26,0.616,0.48889,0.4888888888888889,1.1111111111183902e-06
47,3075,1.26,0.62,0.49206,0.49206349206349204,-3.4920634920387883e-06
47,3100,1.26,0.62,0.49206,0.49206349206349204,-3.4920634920387883e-06
47,3125,1.26,0.616,0.48889,0.4888888888888889,1.1111111111183902e-06
47,3150,1.26,0.616,0.48889,0.4888888888888889,1.1111111111183902e-06
47,3175,1.26,0.616,0.48889,0.4888888888888889,1.1111111111183902e-06
47,3200,1.26,0.616,0.48889,0.4888888888888889,1.1111111111183902e-06
47,3225,1.26,0.616,0.48889,0.4888888888888889,1.1111111111183902e-06
47,3250,1.27,0.616,0.48504,0.48503937007874015,6.299212598759318e-07
47,3275,1.28,0.612,0.47813,0.47812499999999997,5.000000000032756e-06
47,3300,1.29,0.608,0.47132,0.47131782945736433,2.170542635682171e-06
47,3325,1.3,0.608,0.46769,0.4676923076923077,-2.3076923076903455e-06
47,3350,1.3,0.608,0.46769,0.4676923076923077,-2.3076923076903455e-06
47,3375,1.3,0.6,0.46154,0.4615384615384615,1.5384615384972378e-06
47,3400,1.3,0.592,0.45538,0.45538461538461533,-4.61538461532518e-06
47,3450,1.34,0.588,0.43881,0.43880597014925365,4.029850746323227e-06
47,3500,1.38,0.584,0.42319,0.42318840579710143,1.5942028985804768e-06
47,3600,1.42,0.568,0.4,0.39999999999999997,5.551115123125783e-17
47,3800,1.5,0.52,0.34667,0.3466666666666667,3.3333333332996595e-06
47,4000,1.59,0.488,0.30692,0.3069182389937107,1.7610062893469447e-06
47,4500,1.74,0.392,0.22529,0.22528735632183908,2.6436781609129323e-06
47,5000,1.82,0.328,0.18022,0.18021978021978022,2.1978021977342443e-07
100,1000,2.04,0.312,0.15294,0.15294117647058822,-1.1764705882266746e-06
100,1500,1.94,0.472,0.2433,0.24329896907216494,1.0309278350439932e-06
100,2000,1.82,0.656,0.36044,0.36043956043956044,4.3956043954684887e-07
100,2300,1.7,0.776,0.45647,0.45647058823529413,-5.882352941410929e-07
100,2500,1.62,0.84,0.51852,0.5185185185185185,1.481481481491187e-06
100,2600,1.6,0.872,0.545,0.5449999999999999,1.1102230246251565e-16
100,2700,1.56,0.896,0.57436,0.5743589743589743,1.0256410256648252e-06
100,2800,1.54,0.92,0.5974,0.5974025974025974,-2.597402597337428e-06
100,2850,1.52,0.928,0.61053,0.6105263157894737,3.6842105263223957e-06
100,2900,1.5,0.936,0.624,0.624,0.0
100,2950,1.5,0.944,0.62933,0.6293333333333333,-3.3333333333551707e-06
100,3000,1.49,0.948,0.63624,0.636241610738255,-1.6107382549979121e-06
100,3025,1.49,0.952,0.63893,0.6389261744966442,3.825503355758819e-06
100,3050,1.48,0.952,0.64324,0.6432432432432432,-3.2432432431894753e-06
100,3075,1.47,0.952,0.64762,0.6476190476190476,9.523809523237503e-07
100,3100,1.47,0.952,0.64762,0.6476190476190476,9.523809523237503e-07
100,3125,1.48,0.952,0.64324,0.6432432432432432,-3.2432432431894753e-06
100,3150,1.48,0.952,0.64324,0.6432432432432432,-3.2432432431894753e-06
100,3175,1.48,0.952,0.64324,0.6432432432432432,-3.2432432431894753e-06
100,3200,1.48,0.948,0.64054,0.6405405405405405,-5.405405405500829e-07
100,3225,1.49,0.946,0.6349,0.6348993288590604,6.711409396009671e-07
100,3250,1.49,0.946,0.6349,0.6348993288590604,6.711409396009671e-07
100,3275,1.5,0.944,0.62933,0.6293333333333333,-3.3333333333551707e-06
100,3300,1.5,0.944,0.62933,0.6293333333333333,-3.3333333333551707e-06
100,3325,1.5,0.942,0.628,0.628,0.0
100,3350,1.5,0.94,0.62667,0.6266666666666666,3.3333333333551707e-06
100,3375,1.5,0.936,0.624,0.624,0.0
100,3400,1.5,0.932,0.62133,0.6213333333333334,-3.3333333333551707e-06
100,3450,1.52,0.926,0.60921,0.6092105263157895,-5.263157895063486e-07
100,3500,1.54,0.92,0.5974,0.5974025974025974,-2.597402597337428e-06
100,3600,1.54,0.896,0.58182,0.5818181818181818,1.8181818182139153e-06
100,3800,1.58,0.856,0.54177,0.5417721518987342,-2.151898734203961e-06
100,4000,1.62,0.824,0.50864,0.508641975308642,-1.9753086419882493e-06
100,4500,1.74,0.72,0.41379,0.41379310344827586,-3.1034482758651727e-06
100,5000,1.78,0.632,0.35506,0.3550561797752809,3.820224719064402e-06
150,1000,2.02,0.44,0.21782,0.21782178217821782,-1.7821782178073509e-06
150,1500,1.94,0.648,0.33402,0.33402061855670107,-6.185567010819071e-07
150,2000,1.82,0.864,0.47473,0.4747252747252747,4.725274725281281e-06
150,2300,1.72,0.976,0.56744,0.5674418604651162,-1.8604651161879815e-06
150,2500,1.66,1.04,0.62651,0.6265060240963856,3.975903614450438e-06
150,2600,1.66,1.07,0.64458,0.6445783132530121,1.6867469879722208e-06
150,2700,1.64,1.09,0.66463,0.6646341463414634,-4.146341463395764e-06
150,2800,1.62,1.1,0.67901,0.6790123456790124,-2.345679012361046e-06
150,2850,1.61,1.1,0.68323,0.6832298136645963,1.8633540366241874e-07
150,2900,1.61,1.1,0.68323,0.6832298136645963,1.8633540366241874e-07
150,2950,1.6,1.11,0.69375,0.69375,0.0
150,3000,1.6,1.12,0.7,0.7000000000000001,-1.1102230246251565e-16
150,3025,1.6,1.12,0.7,0.7000000000000001,-1.1102230246251565e-16
150,3050,1.59,1.12,0.7044,0.7044025157232705,-2.515723270479775e-06
150,3075,1.59,1.12,0.7044,0.7044025157232705,-2.515723270479775e-06
