Resistance,Frequency_Hz,Vs_Vpp,VR_Vpp,Gain,Run
510,3250,1.86,1.74,0.9354838709677419,2
510,3275,1.86,1.74,0.9354838709677419,2
510,3300,1.86,1.74,0.9354838709677419,2
510,3325,1.86,1.74,0.9354838709677419,2
510,3350,1.86,1.74,0.9354838709677419,2
510,3375,1.86,1.74,0.9354838709677419,2
510,3400,1.86,1.74,0.9354838709677419,2
510,3450,1.86,1.74,0.9354838709677419,2
510,3500,1.86,1.74,0.9354838709677419,2
510,3600,1.86,1.74,0.9354838709677419,2
510,3800,1.86,1.71,0.9193548387096774,2
510,4000,1.86,1.7,0.9139784946236559,2
510,4500,1.86,1.67,0.8978494623655913,2
510,5000,1.86,1.62,0.8709677419354839,2
