Resistance,Frequency_Hz,Vs_Vpp,VR_Vpp,Gain,Run
47,2950,1.3,0.616,0.4738461538461538,2
47,3000,1.28,0.624,0.4875,2
47,3025,1.26,0.624,0.49523809523809526,2
47,3050,1.26,0.624,0.49523809523809526,2
47,3075,1.26,0.624,0.49523809523809526,2
47,3100,1.26,0.624,0.49523809523809526,2
47,3125,1.26,0.624,0.49523809523809526,2
47,3150,1.26,0.628,0.4984126984126984,2
47,3175,1.26,0.624,0.49523809523809526,2
47,3200,1.26,0.624,0.49523809523809526,2
47,3225,1.26,0.624,0.49523809523809526,2
47,3250,1.26,0.62,0.49206349206349204,2
47,3275,1.26,0.616,0.4888888888888889,2
47,3300,1.26,0.616,0.4888888888888889,2
47,3325,1.28,0.616,0.48125,2
47,3350,1.3,0.608,0.4676923076923077,2
47,3375,1.3,0.604,0.4646153846153846,2
47,3400,1.3,0.604,0.4646153846153846,2
47,3450,1.32,0.596,0.4515151515151515,2
47,3500,1.34,0.592,0.44179104477611936,2
47,3600,1.38,0.568,0.4115942028985507,2
47,3800,1.5,0.532,0.3546666666666667,2
47,4000,1.58,0.488,0.30886075949367087,2
47,4500,1.74,0.4,0.2298850574712644,2
47,5000,1.82,0.344,0.18901098901098898,2
100,1000,2.04,0.312,0.15294117647058822,1
100,1500,1.94,0.472,0.24329896907216494,1
100,2000,1.82,0.656,0.36043956043956044,1
100,2300,1.7,0.776,0.45647058823529413,1
100,2500,1.62,0.84,0.5185185185185185,1
100,2600,1.6,0.872,0.5449999999999999,1
100,2700,1.56,0.896,0.5743589743589743,1
100,2800,1.54,0.92,0.5974025974025974,1
100,2850,1.52,0.928,0.6105263157894737,1
100,2900,1.5,0.936,0.624,1
100,2950,1.5,0.944,0.6293333333333333,1
100,3000,1.49,0.948,0.636241610738255,1
100,3025,1.49,0.952,0.6389261744966442,1
100,3050,1.48,0.952,0.6432432432432432,1
100,3075,1.47,0.952,0.6476190476190476,1
100,3100,1.47,0.952,0.6476190476190476,1
100,3125,1.48,0.952,0.6432432432432432,1
100,3150,1.48,0.952,0.6432432432432432,1
100,3175,1.48,0.952,0.6432432432432432,1
100,3200,1.48,0.948,0.6405405405405405,1
100,3225,1.49,0.946,0.6348993288590604,1
100,3250,1.49,0.946,0.6348993288590604,1
100,3275,1.5,0.944,0.6293333333333333,1
100,3300,1.5,0.944,0.6293333333333333,1
100,3325,1.5,0.942,0.628,1
100,3350,1.5,0.94,0.6266666666666666,1
100,3375,1.5,0.936,0.624,1
100,3400,1.5,0.932,0.6213333333333334,1
100,3450,1.52,0.926,0.6092105263157895,1
100,3500,1.54,0.92,0.5974025974025974,1
100,3600,1.54,0.896,0.5818181818181818,1
100,3800,1.58,0.856,0.5417721518987342,1
100,4000,1.62,0.824,0.508641975308642,1
100,4500,1.74,0.72,0.41379310344827586,1
100,5000,1.78,0.632,0.3550561797752809,1
100,1000,2.02,0.304,0.1504950495049505,2
100,1500,1.94,0.456,0.2350515463917526,2
100,2000,1.82,0.648,0.35604395604395606,2
100,2300,1.7,0.768,0.45176470588235296,2
100,2500,1.64,0.84,0.5121951219512195,2
100,2600,1.58,0.868,0.5493670886075949,2
100,2700,1.54,0.896,0.5818181818181818,2
100,2800,1.5,0.912,0.608,2
100,2850,1.5,0.92,0.6133333333333334,2
100,2900,1.5,0.932,0.6213333333333334,2
100,2950,1.5,0.936,0.624,2
100,3000,1.5,0.944,0.6293333333333333,2
100,3025,1.49,0.944,0.6335570469798657,2
100,3050,1.46,0.944,0.6465753424657534,2
100,3075,1.46,0.948,0.6493150684931507,2
100,3100,1.46,0.948,0.6493150684931507,2
100,3125,1.46,0.948,0.6493150684931507,2
100,3150,1.46,0.95,0.6506849315068493,2
100,3175,1.46,0.95,0.6506849315068493,2
100,3200,1.46,0.948,0.6493150684931507,2
100,3225,1.46,0.944,0.6465753424657534,2
100,3250,1.46,0.944,0.6465753424657534,2
100,3275,1.46,0.944,0.6465753424657534,2
100,3300,1.46,0.944,0.6465753424657534,2
100,3325,1.48,0.944,0.6378378378378378,2
100,3350,1.5,0.94,0.6266666666666666,2
100,3375,1.5,0.936,0.624,2
100,3400,1.5,0.936,0.624,2
100,3450,1.5,0.928,0.6186666666666667,2
100,3500,1.5,0.92,0.6133333333333334,2
100,3600,1.5,0.904,0.6026666666666667,2
100,3800,1.54,0.88,0.5714285714285714,2
100,4000,1.62,0.828,0.5111111111111111,2
100,4500,1.7,0.72,0.4235294117647059,2
100,5000,1.78,0.636,0.35730337078651686,2
150,1000,2.02,0.44,0.21782178217821782,1
150,1500,1.94,0.648,0.33402061855670107,1
150,2000,1.82,0.864,0.4747252747252747,1
150,2300,1.72,0.976,0.5674418604651162,1
150,2500,1.66,1.04,0.6265060240963856,1
150,2600,1.66,1.07,0.6445783132530121,1
150,2700,1.64,1.09,0.6646341463414634,1
150,2800,1.62,1.1,0.6790123456790124,1
150,2850,1.61,1.1,0.6832298136645963,1
150,2900,1.61,1.1,0.6832298136645963,1
150,2950,1.6,1.11,0.69375,1
150,3000,1.6,1.12,0.7000000000000001,1
150,3025,1.6,1.12,0.7000000000000001,1
150,3050,1.59,1.12,0.7044025157232705,1
150,3075,1.59,1.12,0.7044025157232705,1
150,3100,1.59,1.12,0.7044025157232705,1
150,3125,1.59,1.12,0.7044025157232705,1
150,3150,1.59,1.12,0.7044025157232705,1
150,3175,1.59,1.12,0.7044025157232705,1
150,3200,1.6,1.12,0.7000000000000001,1
150,3225,1.6,1.12,0.7000000000000001,1
150,3250,1.6,1.11,0.69375,1
150,3275,1.6,1.11,0.69375,1
150,3300,1.6,1.11,0.69375,1
150,3325,1.6,1.11,0.69375,1
150,3350,1.6,1.11,0.69375,1
150,3375,1.61,1.105,0.686335403726708,1
150,3400,1.61,1.1,0.6832298136645963,1
150,3450,1.62,1.09,0.6728395061728395,1
150,3500,1.62,1.08,0.6666666666666666,1
150,3600,1.62,1.07,0.6604938271604939,1
150,3800,1.66,1.04,0.6265060240963856,1
