Resistance,Mean_Abs_Gain_Diff,Max_Abs_Gain_Diff,Std_Gain_Diff,Mean_Relative_Diff_Percent,Max_Relative_Diff_Percent,Num_Points,Num_Suspicious
22,0.0029447122650339665,0.008989898989898992,0.0037806566822647927,1.1773247718704094,5.263157894736836,35,0
47,0.00752036272816944,0.02121212121212121,0.005861692444891715,2.589121195482406,18.749999999999996,35,2
100,0.007679011158997325,0.02965641952983722,0.008666373653424984,1.4161108007408891,5.473965287049393,35,0
150,0.013067818113044445,0.029692139396780837,0.0104960939035597,2.097414701339976,6.790123456790132,35,0
200,0.003158461033390595,0.01578020429728788,0.005071973695699422,0.4857281186447005,2.217053496313173,35,0
270,0.0015536280380958778,0.021029258098223647,0.004296397732306412,0.20470820534290013,2.5350338529365493,35,0
330,0.002499370947665222,0.019284712482468436,0.005271524208726002,0.30796441892036985,2.430402121078214,35,0
470,0.011059710105402907,0.020087439442278088,0.006940976853268049,1.197829267249356,2.1505376344085954,35,0
